Order ID,Order Date,Country,City,Region,Subregion,Customer,Industry,Segment,Product,Sales,Quantity,Discount,Profit
EMEA-2022-152156,2022-11-09,Ireland,Dublin,EMEA,UKIR,Chevron,Energy,SMB,Marketing Suite,261.96,2,0.0,41.9136
EMEA-2022-152156,2022-11-09,Ireland,Dublin,EMEA,UKIR,Chevron,Energy,SMB,FinanceHub,731.94,3,0.0,219.582
AMER-2022-138688,2022-06-13,United States,New York City,AMER,NAMER,Phillips 66,Energy,Strategic,FinanceHub,14.62,2,0.0,6.8714
EMEA-2021-108966,2021-10-11,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,Energy,SMB,ContactMatcher,957.5775,5,0.45,-383.031
EMEA-2021-108966,2021-10-11,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,Energy,SMB,Marketing Suite - Gold,22.368,2,0.2,2.5164
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,SaaS Connector Pack,48.86,7,0.0,14.1694
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,ChatBot Plugin,7.28,4,0.0,1.9656
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,Site Analytics,907.152,6,0.2,90.7152
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,ContactMatcher,18.504,3,0.2,5.7825
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,OneView,114.9,5,0.0,34.47
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,ContactMatcher,1706.184,9,0.2,85.3092
AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,Site Analytics,911.424,4,0.2,68.3568
EMEA-2023-114412,2023-04-16,Sweden,Stockholm,EMEA,NOR,Engie,Energy,SMB,Support,15.552,3,0.2,5.4432
AMER-2022-161389,2022-12-06,Canada,Toronto,AMER,NAMER,Microsoft,Tech,SMB,ContactMatcher,407.976,3,0.2,132.5922
APJ-2021-118983,2021-11-22,Japan,Saitama,APJ,JAPN,Pfizer,Healthcare,Enterprise,OneView,68.81,5,0.8,-123.858
APJ-2021-118983,2021-11-22,Japan,Saitama,APJ,JAPN,Pfizer,Healthcare,Enterprise,ContactMatcher,2.544,3,0.8,-3.816
EMEA-2020-105893,2020-11-11,Italy,Naples,EMEA,EU,Toyota Motor,Manufacturing,SMB,Marketing Suite - Gold,665.88,6,0.0,13.3176
EMEA-2020-167164,2020-05-13,Turkey,Ankara,EMEA,MEA,Home Depot,Retail,SMB,Marketing Suite - Gold,55.5,2,0.0,9.99
AMER-2020-143336,2020-08-27,United States,Los Angeles,AMER,NAMER,Wells Fargo,Finance,SMB,ChatBot Plugin,8.56,2,0.0,2.4824
AMER-2020-143336,2020-08-27,United States,Los Angeles,AMER,NAMER,Wells Fargo,Finance,SMB,Site Analytics,213.48,3,0.2,16.011
AMER-2020-143336,2020-08-27,United States,Los Angeles,AMER,NAMER,Wells Fargo,Finance,SMB,ContactMatcher,22.72,4,0.2,7.384
AMER-2022-137330,2022-12-10,Costa Rica,San José,AMER,LATAM,Carrefour,Retail,Strategic,ChatBot Plugin,19.46,7,0.0,5.0596
AMER-2022-137330,2022-12-10,Costa Rica,San José,AMER,LATAM,Carrefour,Retail,Strategic,OneView,60.34,7,0.0,15.6884
EMEA-2023-156909,2023-07-17,France,Paris,EMEA,EU-WEST,Costco Wholesale,Retail,SMB,FinanceHub,71.372,2,0.3,-1.0196
EMEA-2021-106320,2021-09-25,Turkey,Istanbul,EMEA,MEA,McKesson,Consumer Products,SMB,ContactMatcher,1044.63,3,0.0,240.2649
AMER-2022-121755,2022-01-16,United States,New York City,AMER,NAMER,Siemens,Manufacturing,SMB,ContactMatcher,11.648,2,0.2,4.2224
AMER-2022-121755,2022-01-16,United States,New York City,AMER,NAMER,Siemens,Manufacturing,SMB,Data Smasher,90.57,3,0.0,11.7741
EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,Marketing Suite,3083.43,7,0.5,-1665.0522
EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,ContactMatcher,9.618,2,0.7,-7.0532
EMEA-2021-150630,2021-09-17,France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,SaaS Connector Pack,124.2,3,0.2,15.525
